time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/std,train/explained_variance,train/learning_rate
1864,6851.459041593749,8,16384,1,500.0,,,,,,,,,,,
1669,7086.6416917968745,19,32768,2,500.0,0.0007893880208333333,0.0015053224,15,0.2,-1.42173171043396,-0.0005693282593711047,139545.8135904948,68518.046875,1.0040324926376343,-0.0004086494445800781,0.0003050848
1616,7252.164551958333,30,49152,3,500.0,0.0015584309895833334,0.00118169,30,0.2,-1.430428935835759,-0.000370322145317914,150072.32872721355,70820.578125,1.0180251598358154,0.032338619232177734,0.0003001696
1567,7484.87323345,41,65536,4,500.0,0.0012613932291666667,0.0009027582,45,0.2,-1.4423668252925077,-0.000306115787680028,155530.24490559896,69743.2109375,1.0291571617126465,0.06756079196929932,0.00029525440000000003
1552,7601.92434195,52,81920,5,500.0,0.003788248697916667,0.0016416092,60,0.2,-1.4578025110065937,-0.0006499752023955807,143873.83374023438,71528.2109375,1.0482257604599,0.09604418277740479,0.0002903392
1550,7484.317460169999,63,98304,6,500.0,0.0012532552083333334,0.0008833582,75,0.2,-1.4744772429267565,-0.0006925087004977589,145469.11728515624,68141.8515625,1.0646501779556274,0.11811739206314087,0.000285424
1542,7369.26294168,74,114688,7,500.0,0.0006551106770833333,0.00076385855,90,0.2,-1.4862355545163155,-0.0006855794104315767,140335.96188151042,78903.4140625,1.074303388595581,0.14075541496276855,0.0002805088
1540,7334.70116426,85,131072,8,500.0,0.00042317708333333335,0.00043547526,105,0.2,-1.5008942234019438,-0.00015389036998385562,137164.3861328125,66525.796875,1.095304012298584,0.16273361444473267,0.0002755936
1530,7256.393342249999,96,147456,9,500.0,0.005135091145833334,0.0017343139,120,0.2,-1.5229951704541842,-0.0013816251138147587,134846.57132161458,62228.4609375,1.1230297088623047,0.1835135817527771,0.00027067840000000003
1523,7401.957999979999,107,163840,10,500.0,0.0018595377604166666,0.0009334859,135,0.2,-1.545709344247977,-0.00045337010839527163,143481.45970052082,66307.265625,1.1457468271255493,0.19346702098846436,0.0002657632
1520,7442.07422355,118,180224,11,500.0,8.138020833333333e-06,0.00014404392,150,0.2,-1.559690460562706,-5.251118758072456e-05,145567.01635742188,70038.8046875,1.1568044424057007,0.215714693069458,0.000260848
1517,7685.340878530001,129,196608,12,500.0,0.0011515299479166667,0.0007634907,165,0.2,-1.5767984963953494,-0.00031130303104873744,144520.4373860677,69620.0859375,1.1843713521957397,0.23610103130340576,0.0002559328
1521,7686.271749610002,140,212992,13,500.0,2.44140625e-05,0.0004596423,180,0.2,-1.5856052053471406,-0.00017340304214788678,136394.25161132813,69754.640625,1.1786919832229614,0.2547604441642761,0.0002510176
1513,7711.600504899998,151,229376,14,500.0,0.00277099609375,0.0010469076,195,0.2,-1.5986716034511725,-0.0006368868564095465,145252.90436197916,71899.4765625,1.2126415967941284,0.26369500160217285,0.0002461024
1517,7819.058767849999,161,245760,15,500.0,4.069010416666667e-06,0.00014166695,210,0.2,-1.6125782899558545,-0.00019269558833912015,137179.8755859375,63801.50390625,1.2143311500549316,0.2831481695175171,0.00024118719999999998
1521,7667.583139010001,172,262144,16,500.0,0.0003987630208333333,0.00046816783,225,0.2,-1.6213719978928567,-0.00027787500415191364,146189.28030598958,71952.7578125,1.2346670627593994,0.28943532705307007,0.000236272
1523,7762.63497975,182,278528,17,500.0,0.00016682942708333334,0.00030979072,240,0.2,-1.6379569433629513,-0.00016389995956463585,138823.49674479166,75851.953125,1.255246639251709,0.30537259578704834,0.0002313568
1526,7870.33380765,193,294912,18,500.0,2.44140625e-05,0.00016945448,255,0.2,-1.642040465772152,-0.00041371245048746157,143849.73536783856,69237.234375,1.2449387311935425,0.31551241874694824,0.00022644159999999998
1529,8143.965455010001,203,311296,19,500.0,0.0017049153645833333,0.00088283315,270,0.2,-1.651788994918267,-0.0006699325199103138,145275.55623372397,70383.1796875,1.2777405977249146,0.3339115381240845,0.00022152639999999997
1531,8135.385292,213,327680,20,500.0,8.138020833333333e-06,0.00020258411,285,0.2,-1.668580489854018,-0.0001855423783126753,143016.25485026042,69109.828125,1.2890965938568115,0.3412255644798279,0.00021661119999999998
1531,8067.892613860001,224,344064,21,500.0,3.255208333333333e-05,0.00021738533,300,0.2,-1.6778244905173778,-0.0001477041519441021,135704.52426757812,61908.890625,1.301762580871582,0.3600863218307495,0.000211696
1533,7965.825913820001,235,360448,22,500.0,0.00015869140625,0.00038094347,315,0.2,-1.6900301086405913,-0.00021855378290638327,143761.35667317707,72700.484375,1.321047306060791,0.36747825145721436,0.0002067808
1534,8086.01321737,245,376832,23,500.0,1.6276041666666666e-05,0.00021524023,330,0.2,-1.6982433187464874,-0.00015541266742123602,136362.76471354166,66158.1796875,1.3236143589019775,0.3870159387588501,0.00020186559999999998
1535,8021.802084030001,256,393216,24,500.0,0.0,0.00012090308,345,0.2,-1.6960341344277063,-0.00014110000392975053,135610.8959798177,67765.09375,1.3148863315582275,0.394680917263031,0.00019695039999999996
1536,8077.50812223,266,409600,25,500.0,0.0,4.515674e-05,360,0.2,-1.6946865439414978,-4.4571598118636756e-05,143241.7524576823,73688.171875,1.3201287984848022,0.3879004716873169,0.00019203519999999997
1535,8040.001635260001,277,425984,26,500.0,4.069010416666667e-06,0.00014696129,375,0.2,-1.692023446659247,-0.00024275219657283743,129216.48308919271,65996.5,1.3077807426452637,0.41165459156036377,0.00018711999999999998
1535,8052.949360829999,288,442368,27,500.0,0.0010701497395833334,0.0007085849,390,0.2,-1.700988374153773,-0.0005532715227066849,142103.08365885416,69440.015625,1.3437224626541138,0.41103851795196533,0.00018220480000000002
1535,8022.6228965499995,298,458752,28,500.0,0.0,0.00013721932,405,0.2,-1.711282671491305,-0.00024185984620999078,135441.1664550781,59147.82421875,1.33420991897583,0.41878050565719604,0.00017728959999999998
1535,8152.63171626,309,475136,29,500.0,8.138020833333333e-06,0.00023002105,420,0.2,-1.7105644909044107,-0.00017137451213784517,136846.53907877606,60956.0234375,1.343231201171875,0.4303516745567322,0.00017237439999999996
1536,8256.78282102,319,491520,30,500.0,0.0,0.00030257308,435,0.2,-1.7146428930262725,-0.00022671348973138568,139920.11940104168,64125.38671875,1.3446948528289795,0.4392303228378296,0.0001674592
1536,8366.03202051,330,507904,31,500.0,0.0,0.00015461868,450,0.2,-1.7143913485109805,-0.00014763064597597502,138809.02322591146,60929.5,1.342527151107788,0.4441681504249573,0.000162544
1537,8368.33640989,341,524288,32,500.0,0.0,3.4290777e-05,465,0.2,-1.7156787104904652,-2.028900138005459e-05,142194.52659505207,78317.5546875,1.3481175899505615,0.4472249150276184,0.0001576288
1537,8420.60727513,351,540672,33,500.0,0.0,3.325347e-05,480,0.2,-1.7190956426163515,-6.718060928202855e-05,142921.20406901042,72266.359375,1.3521568775177002,0.4638010263442993,0.0001527136
1538,8523.369201529998,362,557056,34,500.0,0.0,2.2149416e-05,495,0.2,-1.7207540926833949,-4.007416024857472e-05,127545.69916992188,63349.7890625,1.3523563146591187,0.487953245639801,0.00014779839999999998
1539,8522.8790408,372,573440,35,500.0,0.0,0.000113344286,510,0.2,-1.720709146062533,-0.0002742112383809096,136376.4760253906,71980.5390625,1.3519556522369385,0.4729474186897278,0.0001428832
1539,8404.46330379,383,589824,36,500.0,0.0,4.547923e-05,525,0.2,-1.7176683840652307,-8.635673802928067e-05,135149.96572265626,69489.03125,1.3443769216537476,0.47593897581100464,0.000137968
1539,8372.39808991,393,606208,37,500.0,8.138020833333333e-06,0.00017699352,540,0.2,-1.7115385527412097,-0.000256232808533241,132398.86276041667,69853.7265625,1.3354867696762085,0.48641330003738403,0.0001330528
1540,8419.565403280001,404,622592,38,500.0,0.0,2.2206594e-05,555,0.2,-1.710386663923661,-2.0901107927784323e-05,136166.67543945313,72454.1953125,1.3413994312286377,0.4865168333053589,0.0001281376
1541,8408.31079909,414,638976,39,500.0,0.0,2.8927108e-05,570,0.2,-1.7108878195285797,-0.0001351035260692394,131380.27503255208,66590.546875,1.3363871574401855,0.5042623281478882,0.00012322239999999998
1541,8407.499737890003,425,655360,40,500.0,0.0,5.175533e-05,585,0.2,-1.7069543808698655,-0.00014830878681095782,130078.02513020833,63293.19921875,1.331247091293335,0.5022772550582886,0.00011830719999999999
1540,8451.539410379999,436,671744,41,500.0,0.0,0.000449459,600,0.2,-1.7061183107395967,-0.0002419167375289059,136668.88387044272,70023.953125,1.3342456817626953,0.5044692754745483,0.00011339199999999997
1540,8488.94061154,446,688128,42,500.0,0.0,9.924591e-05,615,0.2,-1.7073579701284567,-4.872000342099151e-05,132963.39663085938,72848.1640625,1.3345751762390137,0.5096966624259949,0.00010847679999999998
1540,8448.49391678,457,704512,43,500.0,0.0,8.553825e-05,630,0.2,-1.706571955482165,-0.0003822869449019587,133008.47176106772,62523.375,1.3318126201629639,0.5246745347976685,0.00010356160000000001
1540,8501.59304881,467,720896,44,500.0,0.0,7.2802046e-05,645,0.2,-1.702552432815234,-0.00018767566143651493,126574.73680013021,61643.52734375,1.3237457275390625,0.5325250625610352,9.864639999999998e-05
1540,8540.62265305,478,737280,45,500.0,0.0,8.881241e-05,660,0.2,-1.6994498640298843,-8.330395115384212e-05,130834.24602864584,67160.34375,1.3240164518356323,0.5213190913200378,9.37312e-05
1541,8524.33046237,488,753664,46,500.0,0.0,2.5657995e-05,675,0.2,-1.7000643240908782,-9.206670765706803e-05,133644.93393554687,66503.515625,1.32499098777771,0.5265576243400574,8.881599999999998e-05
1541,8473.02544241,499,770048,47,500.0,0.0,1.7518141e-05,690,0.2,-1.7001367578903834,-0.0001928562845326572,134067.00122070312,62947.890625,1.3243077993392944,0.5224765539169312,8.39008e-05
1542,8584.23922051,510,786432,48,500.0,8.138020833333333e-06,8.393585e-05,705,0.2,-1.7011190086603165,-0.00024703564510370293,135932.02858072918,66984.6640625,1.327832579612732,0.5305901765823364,7.89856e-05
1541,8664.30245356,520,802816,49,500.0,0.0,0.00016416352,720,0.2,-1.7045021136601766,-0.0002629089785235313,137052.43115234375,70108.0,1.333229660987854,0.5339761972427368,7.407039999999999e-05
1542,8685.30854543,531,819200,50,500.0,0.0,4.2850974e-05,735,0.2,-1.705673624575138,-8.476606229426883e-05,137259.144921875,66496.234375,1.3307214975357056,0.531895637512207,6.915520000000001e-05
1542,8607.332227530002,541,835584,51,500.0,0.0,0.00013082952,750,0.2,-1.705335807055235,-0.0003008440660778433,133028.08904622396,63511.8671875,1.332563877105713,0.5424659252166748,6.423999999999998e-05
1543,8650.558603709998,551,851968,52,500.0,0.0,6.846113e-05,765,0.2,-1.7059589711328347,-9.204128158065335e-05,129055.91857096353,67523.28125,1.3321912288665771,0.5449439883232117,5.93248e-05
1543,8631.0374335,562,868352,53,500.0,0.0,3.4052115e-05,780,0.2,-1.7066143246988454,-7.332508715383786e-05,132326.33012695314,67949.3515625,1.3345530033111572,0.5482659339904785,5.440960000000001e-05
1544,8723.798809479998,572,884736,54,500.0,0.0,5.839447e-06,795,0.2,-1.7085516127447287,-1.4695132631459273e-05,137989.09869791666,66288.890625,1.3374253511428833,0.5463923215866089,4.949439999999999e-05
1544,8755.81442116,583,901120,55,500.0,0.0,1.5900761e-05,810,0.2,-1.7110818301637967,-3.878130689069318e-05,133885.73151041666,64554.6484375,1.3412407636642456,0.553233802318573,4.457920000000001e-05
1544,8751.23393376,593,917504,56,500.0,0.0,4.343521e-06,825,0.2,-1.7132368969420593,-2.4720365157312093e-05,138034.56380208334,64800.35546875,1.3431288003921509,0.5452166795730591,3.966399999999999e-05
1545,8545.057254050002,604,933888,57,500.0,0.0,1.3914432e-06,840,0.2,-1.7137578077614308,-2.554760055015019e-05,138722.91435546876,66904.5625,1.342569351196289,0.5425633192062378,3.47488e-05
1545,8577.937705359998,614,950272,58,500.0,0.0,1.2676282e-06,855,0.2,-1.7138401630024116,-1.2850812587809439e-05,131345.89088541668,65606.296875,1.3433778285980225,0.5486500263214111,2.9833599999999985e-05
1545,8598.63935696,625,966656,59,500.0,0.0,8.030125e-06,870,0.2,-1.714524732530117,-8.660880060536631e-05,136366.0508951823,69393.8515625,1.3444411754608154,0.5534517765045166,2.49184e-05
1545,8866.215126340001,636,983040,60,500.0,0.0,2.8229406e-06,885,0.2,-1.7153979375958444,-1.8539737357059494e-05,136188.89630533854,70634.84375,1.3457789421081543,0.5533519983291626,2.0003200000000012e-05
1545,8815.91844625,646,999424,61,500.0,0.0,4.1418753e-07,900,0.2,-1.7159010792771976,-1.5469840339695413e-05,137838.53312174478,70466.5625,1.3457090854644775,0.5554843544960022,1.5087999999999992e-05
1546,8866.87309555,656,1015808,62,500.0,0.0,3.7632344e-07,915,0.2,-1.716142945488294,-4.899711166217458e-06,138756.12340494792,74865.890625,1.3464722633361816,0.5443392395973206,1.0172800000000007e-05
